nomogram_id,voltage_kv,element_type,total_congestion_cost_index,hours_binding,days_binding,avg_shadow_price,max_shadow_price,primary_cause,cause_is_base_case,months_active,solar_hour_fraction,readable_name,utility,tpp_area,reconductoring_applicable,reconductoring_reason,match_quality,renewable_driven,renewable_type
39021_SC21ATP _70.0_34888_ARVIN   _70.0_BR_1 _1,70.0,branch,588026.0203499999,2152,160,273.25,2220.31,PG1 WHELRG-WEEDPC 70,False,9,0.456,SC21A Tap-Arvin 70 kV,PG&E,PG&E Kern,True,"70 kV branch, #1 most congested line, thermally limited",known_mapping,likely,mixed
31336_HPLND JT_60.0_31370_CLVRDLJT_60.0_BR_1 _1,,branch,444814.1991300001,3111,216,142.98,1029.54,PG1 EGLRK-SLVR-FLTN 115_M,False,10,0.221,Highland Junction-Cloverdale Junction 60 kV,PG&E,PG&E North Coast,True,"60 kV branch, #2 most congested, likely thermally limited",known_mapping,False,load/other
24723_CONTROL _115_24865_TAP188  _115_BR_2 _1,115.0,branch,404751.51295000105,4071,232,99.42,719.25,Base Case,True,11,0.333,Control-Tap188 115 kV,SCE,SCE Eastern,True,"115 kV branch, #3 most congested, base case binding",known_mapping,False,load/other
22208_EL CAJON_69.0_22408_LOSCOCHS_69.0_BR_1 _1,69.0,branch,360594.921080001,4090,306,88.17,1328.85,SD1 MIGUEL-JMACHA_1 69,False,12,0.341,El Cajon-Los Coches 69 kV,SDG&E,SDG&E 230 kV,True,"69 kV branch, persistently congested",known_mapping,False,load/other
30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1,230.0,branch,279221.9504999999,2143,266,130.29,718.73,PG1 MOSSLD-LOSBNS 500,False,12,0.813,Moss Landing-Las Aguilas 230 kV,PG&E,Path 15 Corridor,True,"230 kV, identified as DLR candidate in PG&E SB1006",known_mapping,True,solar
30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,230.0,branch,201441.08185000005,1756,246,114.72,525.09,PG1 LOSBNS 500-230 BK1,False,12,0.863,Los Banos-Panoche 230 kV,PG&E,Path 15 Corridor,True,"230 kV in Path 15 corridor, solar congestion",known_mapping,True,solar
30790_PANOCHE _230_30900_GATES   _230_BR_2 _1,230.0,branch,108285.71971000005,1189,204,91.07,400.13,PG1 GATES-LOSBNS_1 500,False,12,0.87,Panoche-Gates 230 kV,PG&E,PG&E Fresno 230 kV / Path 15 Corridor,True,230 kV branch in renewable-rich corridor,known_mapping,True,solar
34548_KETTLEMN_70.0_34552_GATES   _70.0_BR_1 _1,70.0,branch,84341.58928000023,1084,163,77.81,184.15,Base Case,True,8,0.907,Kettleman-Gates 70 kV,PG&E,PG&E Kern / Fresno,True,"70 kV branch in solar-rich zone, thermally limited",known_mapping,True,solar
34116_LE GRAND_115_34115_ADRA TAP_115_BR_1 _1,115.0,branch,78388.08693999998,2429,273,32.27,239.76,PG1 MNDOTA-PNOCHE 115,False,11,0.717,Le Grand-Adra Tap 115 kV,PG&E,PG&E Fresno,True,115 kV branch in central valley,known_mapping,True,solar
24723_CONTROL _115_24866_TAP189  _115_BR_1 _1,115.0,branch,76918.62261999998,309,22,248.93,2895.11,Base Case,True,5,0.356,Control-Tap189 115 kV,SCE,SCE Eastern,True,"115 kV branch, same corridor as Control-Tap188",known_mapping,False,load/other
34214_LOS BANS_70.0_30765_LOSBANOS_230_XF_3,230.0,transformer,56186.78262999999,215,32,261.33,1014.02,PG1 LOSBNS 500-230 BK1,False,5,0.8,Los Banos 70/230 kV Transformer,PG&E,Path 15 Corridor,False,"Transformer, not a transmission line",known_mapping,True,solar
30765_LOSBANOS_230_30766_PADR FLT_230_BR_1 _1,230.0,branch,38184.13503,790,106,48.33,154.51,Base Case,True,6,0.801,Los Banos-Padre Flat 230 kV,PG&E,Path 15 Corridor,True,230 kV in Path 15 corridor,known_mapping,True,solar
31486_CARIBOU _115_30255_CARBOU M_ 1.0_XF_11,115.0,transformer,38133.221590000045,2117,124,18.01,928.54,Base Case,True,6,0.276,Caribou 115/1 kV Transformer (Generator),PG&E,PG&E Sierra,False,Transformer/generator step-up,known_mapping,False,load/other
31334_CLER LKE_60.0_31338_KONOCTI6_60.0_BR_1 _1,,branch,36344.17985000002,290,44,125.32,543.99,PG1 EGLRK-SLVR-FLTN 115_M,False,9,0.4,Cler Lke-Konocti6 60 kV,PG&E,,True,"60 kV branch, likely thermally limited - reconductoring candidate",parsed,False,load/other
32214_RIO OSO _115_32225_BRNSWKT1_115_BR_1 _1,115.0,branch,35431.46179000001,685,95,51.72,562.53,PG1 DRUM-RIOOSO 115 2_M,False,7,0.298,Rio Oso-Brunswick T1 115 kV,PG&E,PG&E Sierra / North Valley,True,115 kV branch,known_mapping,False,load/other
33020_MORAGA  _115_35101_SN LNDRO_115_BR_2 _1,115.0,branch,34577.679589999956,730,84,47.37,1329.28,PG1 MORAGA-SANLEA 115 3,False,10,0.468,Moraga-San Leandro 115 kV,PG&E,PG&E Greater Bay Area,True,"115 kV, identified for reconductoring in Oakland South Reinforcement (TPP 2024-25)",known_mapping,likely,mixed
34418_KINGSBRG_115_34428_CONTADNA_115_BR_1 _1,115.0,branch,33649.47293999998,707,85,47.59,573.93,PG1 HENRTA 230-115 BK3,False,4,0.397,Kingsburg-Contadina 115 kV,PG&E,PG&E Fresno,True,115 kV branch in Fresno area,known_mapping,False,load/other
34101_CERTANJ2_115_34116_LE GRAND_115_BR_1 _1,115.0,branch,26667.216920000003,920,110,28.99,331.87,Base Case,True,6,0.042,Certaneja 2-Le Grand 115 kV,PG&E,PG&E Fresno,True,115 kV branch,known_mapping,False,load/other
24602_VICTOR  _115_24607_ROADWAY _115_BR_1 _1,115.0,branch,24854.86896000003,966,160,25.73,88.18,Base Case,True,10,0.799,Victor-Roadway 115 kV,SCE,SCE Eastern,True,"115 kV branch, solar-driven congestion (80% solar hours)",known_mapping,True,solar
24791_TAP710  _115_24731_INYOKERN_115_BR_2 _1,115.0,branch,23899.796410000006,647,108,36.94,441.5,Base Case,True,10,0.34,Tap710-Inyokern 115 kV,SCE,SCE Eastern / Kern,True,115 kV in solar/wind zone,known_mapping,False,load/other
33932_MELONES _115_33936_MELNS JB_115_BR_1 _1,115.0,branch,23704.556890000007,659,57,35.97,160.1,PG1 STANIS-MELONS-MANTEC 115 1,False,4,0.234,Melones-Melns Jb 115 kV,PG&E,,True,"115 kV branch, likely thermally limited - reconductoring candidate",parsed,False,load/other
35352_WHISMAN _115_35356_MNTA VSA_115_BR_1 _1,115.0,branch,23060.842469999996,336,70,68.63,409.22,PG1 TESLA 500-230 BK6,False,8,0.798,Whisman-Mnta Vsa 115 kV,PG&E,,True,"115 kV branch, likely thermally limited - reconductoring candidate",parsed,True,solar
34418_KINGSBRG_115_34405_FRWT TAP_115_BR_1 _1,115.0,branch,20915.45266000001,1013,172,20.65,112.66,PG1 KNGBRG-WAUKNA 115,False,8,0.904,Kingsburg-Frwt Tap 115 kV,PG&E,,True,"115 kV branch, likely thermally limited - reconductoring candidate",parsed,True,solar
36851_NORTHERN_115_36852_SCOTT   _115_BR_2 _1,115.0,branch,20707.691430000006,431,91,48.05,579.56,PG1 NRTHRN-SCOTT_1 115,False,12,0.459,Northern-Scott 115 kV,PG&E,,True,"115 kV branch, likely thermally limited - reconductoring candidate",parsed,likely,mixed
33932_MELONES _115_33500_MELNS JA_115_BR_1 _1,115.0,branch,20553.933380000013,302,24,68.06,224.97,Base Case,True,3,0.199,Melones-Melns Ja 115 kV,PG&E,,True,"115 kV branch, likely thermally limited - reconductoring candidate",parsed,False,load/other
35120_NEWARK D_115_36851_NORTHERN_115_BR_1 _1,115.0,branch,19764.87134,218,29,90.66,843.68,PG1 NEWARK-NWRKDST 230,False,5,0.44,Newark D-Northern 115 kV,PG&E,,True,"115 kV branch, likely thermally limited - reconductoring candidate",parsed,likely,mixed
