INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,OPR_TYPE,MARKET_RUN_ID,NOMOGRAM_ID_XML,NOMOGRAM_ID,CONSTRAINT_CAUSE,PRC,GROUP
2025-04-02T05:00:00-00:00,2025-04-02T06:00:00-00:00,2025-04-01,23,0,Hourly,DAM,22604_OTAY    _69.0_22616_OTAYLKTP_69.0_BR_1 _1,22604_OTAY    _69.0_22616_OTAYLKTP_69.0_BR_1 _1,SD1 MIGUEL-SALTCK_1 69,1.85439,1
2025-04-01T09:00:00-00:00,2025-04-01T10:00:00-00:00,2025-04-01,3,0,Hourly,DAM,24114_PARDEE  _230_24147_SYLMAR S_230_BR_2 _1,24114_PARDEE  _230_24147_SYLMAR S_230_BR_2 _1,SC1 SYLMAR-PARDEE_1 230,9.69151,2
2025-04-01T10:00:00-00:00,2025-04-01T11:00:00-00:00,2025-04-01,4,0,Hourly,DAM,24114_PARDEE  _230_24147_SYLMAR S_230_BR_2 _1,24114_PARDEE  _230_24147_SYLMAR S_230_BR_2 _1,SC1 SYLMAR-PARDEE_1 230,12.70524,2
2025-04-01T11:00:00-00:00,2025-04-01T12:00:00-00:00,2025-04-01,5,0,Hourly,DAM,24114_PARDEE  _230_24147_SYLMAR S_230_BR_2 _1,24114_PARDEE  _230_24147_SYLMAR S_230_BR_2 _1,SC1 SYLMAR-PARDEE_1 230,13.54306,2
2025-04-01T12:00:00-00:00,2025-04-01T13:00:00-00:00,2025-04-01,6,0,Hourly,DAM,24114_PARDEE  _230_24147_SYLMAR S_230_BR_2 _1,24114_PARDEE  _230_24147_SYLMAR S_230_BR_2 _1,SC1 SYLMAR-PARDEE_1 230,16.35617,2
2025-04-01T17:00:00-00:00,2025-04-01T18:00:00-00:00,2025-04-01,11,0,Hourly,DAM,24602_VICTOR  _115_24607_ROADWAY _115_BR_1 _1,24602_VICTOR  _115_24607_ROADWAY _115_BR_1 _1,Base Case,7.11356,3
2025-04-01T18:00:00-00:00,2025-04-01T19:00:00-00:00,2025-04-01,12,0,Hourly,DAM,24602_VICTOR  _115_24607_ROADWAY _115_BR_1 _1,24602_VICTOR  _115_24607_ROADWAY _115_BR_1 _1,Base Case,5.22148,3
2025-04-01T22:00:00-00:00,2025-04-01T23:00:00-00:00,2025-04-01,16,0,Hourly,DAM,24602_VICTOR  _115_24607_ROADWAY _115_BR_1 _1,24602_VICTOR  _115_24607_ROADWAY _115_BR_1 _1,Base Case,5.04069,3
2025-04-01T23:00:00-00:00,2025-04-02T00:00:00-00:00,2025-04-01,17,0,Hourly,DAM,24602_VICTOR  _115_24607_ROADWAY _115_BR_1 _1,24602_VICTOR  _115_24607_ROADWAY _115_BR_1 _1,Base Case,5.97641,3
2025-04-01T07:00:00-00:00,2025-04-01T08:00:00-00:00,2025-04-01,1,0,Hourly,DAM,24723_CONTROL _115_24865_TAP188  _115_BR_2 _1,24723_CONTROL _115_24865_TAP188  _115_BR_2 _1,Base Case,68.6857,4
2025-04-01T08:00:00-00:00,2025-04-01T09:00:00-00:00,2025-04-01,2,0,Hourly,DAM,24723_CONTROL _115_24865_TAP188  _115_BR_2 _1,24723_CONTROL _115_24865_TAP188  _115_BR_2 _1,Base Case,39.53302,4
2025-04-01T09:00:00-00:00,2025-04-01T10:00:00-00:00,2025-04-01,3,0,Hourly,DAM,24723_CONTROL _115_24865_TAP188  _115_BR_2 _1,24723_CONTROL _115_24865_TAP188  _115_BR_2 _1,Base Case,107.05757,4
2025-04-01T10:00:00-00:00,2025-04-01T11:00:00-00:00,2025-04-01,4,0,Hourly,DAM,24723_CONTROL _115_24865_TAP188  _115_BR_2 _1,24723_CONTROL _115_24865_TAP188  _115_BR_2 _1,Base Case,35.85746,4
2025-04-01T11:00:00-00:00,2025-04-01T12:00:00-00:00,2025-04-01,5,0,Hourly,DAM,24723_CONTROL _115_24865_TAP188  _115_BR_2 _1,24723_CONTROL _115_24865_TAP188  _115_BR_2 _1,Base Case,34.18589,4
2025-04-01T13:00:00-00:00,2025-04-01T14:00:00-00:00,2025-04-01,7,0,Hourly,DAM,24723_CONTROL _115_24865_TAP188  _115_BR_2 _1,24723_CONTROL _115_24865_TAP188  _115_BR_2 _1,Base Case,47.38671,4
2025-04-01T14:00:00-00:00,2025-04-01T15:00:00-00:00,2025-04-01,8,0,Hourly,DAM,24723_CONTROL _115_24865_TAP188  _115_BR_2 _1,24723_CONTROL _115_24865_TAP188  _115_BR_2 _1,Base Case,46.10166,4
2025-04-01T15:00:00-00:00,2025-04-01T16:00:00-00:00,2025-04-01,9,0,Hourly,DAM,24723_CONTROL _115_24865_TAP188  _115_BR_2 _1,24723_CONTROL _115_24865_TAP188  _115_BR_2 _1,Base Case,54.64374,4
